ppt,life_sat,worthwhile,happy,anxious,relationship,physical_health,mental_wellbeing,financial,work,balance,local,health,gender,age_group,marital,education,employment,occupation,children
502,6,7,8,0,7,9,5,5,6,6,9,very_good,male,45to54,single,degree,full_time,intermediate,no
451,8,9,8,0,10,8,10,7,6,8,6,good_to_bad,male,16to24,single,no_degree,full_time,routine_manual,no
933,8,10,4,4,10,10,10,10,7,10,10,very_good,female,55to64,married,degree,part_time,managerial_professional,no
862,6,6,6,5,4,7,7,4,3,9,5,very_good,female,25to44,widowed_divorced_sep,degree,part_time,routine_manual,yes
857,4,6,3,7,9,2,4,9,4,1,9,good_to_bad,male,25to44,married,degree,full_time,managerial_professional,yes
52,9,9,9,2,10,10,8,10,4,4,9,very_good,female,25to44,single,degree,full_time,managerial_professional,no
684,8,8,9,0,8,8,8,8,8,10,8,very_good,male,55to64,widowed_divorced_sep,degree,part_time,managerial_professional,no
955,7,5,7,3,8,5,7,5,6,5,9,good_to_bad,female,45to54,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
605,4,8,5,0,10,5,8,5,5,4,10,good_to_bad,female,25to44,single,no_degree,full_time,routine_manual,yes
69,8,8,3,8,10,8,8,10,6,5,8,good_to_bad,female,45to54,married,degree,full_time,managerial_professional,no
406,8,8,6,5,8,7,7,7,5,6,3,very_good,female,25to44,married,degree,part_time,routine_manual,yes
436,9,10,10,1,10,10,10,10,9,6,8,very_good,male,25to44,married,no_degree,full_time,managerial_professional,yes
119,10,9,7,2,10,7,7,7,8,6,9,good_to_bad,male,45to54,married,no_degree,full_time,intermediate,no
541,6,6,7,8,5,6,6,6,8,8,9,good_to_bad,female,25to44,single,no_degree,full_time,intermediate,no
572,7,8,3,7,8,8,8,7,7,7,8,good_to_bad,male,25to44,widowed_divorced_sep,no_degree,full_time,intermediate,yes
584,10,10,10,0,10,10,10,10,10,10,7,very_good,female,45to54,married,no_degree,full_time,managerial_professional,no
65,8,8,7,3,6,8,8,8,9,5,7,very_good,male,16to24,single,degree,full_time,managerial_professional,no
149,7,7,8,4,9,10,7,6,6,7,7,very_good,female,25to44,single,no_degree,part_time,routine_manual,yes
754,10,10,10,0,10,10,10,9,10,10,8,very_good,female,45to54,married,no_degree,part_time,intermediate,no
294,9,9,9,0,9,9,10,9,9,9,9,very_good,male,45to54,single,no_degree,full_time,routine_manual,no
300,9,9,8,4,10,8,10,6,9,5,6,good_to_bad,female,16to24,single,degree,full_time,managerial_professional,no
476,6,8,8,5,4,6,6,4,7,2,9,good_to_bad,female,25to44,widowed_divorced_sep,no_degree,full_time,managerial_professional,yes
887,5,10,8,5,8,8,9,0,8,6,3,very_good,male,25to44,married,degree,full_time,intermediate,yes
120,7,10,8,3,10,5,9,6,8,9,9,very_good,female,25to44,widowed_divorced_sep,degree,part_time,managerial_professional,yes
508,5,5,7,0,10,7,10,0,6,10,8,very_good,male,25to44,single,no_degree,full_time,intermediate,no
943,8,9,7,7,5,5,5,6,6,2,7,good_to_bad,female,45to54,widowed_divorced_sep,degree,full_time,managerial_professional,no
719,7,8,7,2,10,7,7,8,7,6,8,good_to_bad,female,25to44,single,degree,full_time,managerial_professional,no
761,7,7,7,0,7,7,7,4,4,6,10,good_to_bad,female,55to64,single,degree,full_time,routine_manual,no
174,8,8,9,3,10,8,8,8,8,5,7,good_to_bad,female,25to44,single,degree,full_time,managerial_professional,no
830,9,9,10,1,7,8,9,8,6,9,9,very_good,female,55to64,married,degree,part_time,routine_manual,no
809,8,8,7,7,7,8,8,9,8,3,9,good_to_bad,male,25to44,widowed_divorced_sep,degree,full_time,managerial_professional,no
529,7,10,5,7,10,8,10,7,4,6,5,very_good,female,25to44,married,no_degree,part_time,intermediate,yes
641,7,8,6,4,9,8,8,7,8,7,7,good_to_bad,female,55to64,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
880,8,9,9,3,9,7,9,9,9,10,6,good_to_bad,female,45to54,married,no_degree,part_time,routine_manual,no
744,9,8,7,5,9,8,6,8,7,9,8,good_to_bad,female,55to64,married,degree,part_time,intermediate,yes
890,7,8,7,1,8,9,10,8,9,8,7,very_good,male,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual,no
787,10,10,10,0,10,10,10,8,5,10,10,very_good,female,45to54,married,no_degree,full_time,intermediate,no
233,9,9,9,0,9,9,9,10,8,9,9,very_good,male,25to44,married,degree,full_time,managerial_professional,no
108,7,8,9,0,8,9,10,8,6,1,8,good_to_bad,male,25to44,single,no_degree,full_time,routine_manual,no
603,9,9,0,10,5,8,8,4,9,6,3,good_to_bad,female,25to44,widowed_divorced_sep,no_degree,part_time,routine_manual,yes
779,7,6,4,5,8,9,7,8,7,8,10,good_to_bad,male,16to24,married,no_degree,full_time,managerial_professional,no
61,8,7,9,2,9,7,7,8,5,5,9,good_to_bad,male,55to64,married,no_degree,full_time,managerial_professional,no
165,8,8,8,0,10,7,8,10,8,10,7,good_to_bad,female,45to54,married,degree,part_time,managerial_professional,no
895,8,7,6,5,10,10,10,8,7,3,8,very_good,male,25to44,married,no_degree,full_time,routine_manual,yes
247,10,8,7,0,8,5,9,8,7,6,10,very_good,female,55to64,married,no_degree,part_time,managerial_professional,no
493,7,7,8,10,9,9,7,4,7,8,9,good_to_bad,female,55to64,married,no_degree,part_time,routine_manual,no
204,7,8,8,0,9,7,8,7,6,7,7,very_good,male,25to44,married,no_degree,full_time,managerial_professional,no
318,8,10,7,1,10,9,10,10,8,8,10,good_to_bad,female,45to54,married,no_degree,part_time,intermediate,no
372,7,8,7,4,7,6,9,5,10,4,8,good_to_bad,male,45to54,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
239,8,8,7,2,10,9,9,9,8,6,10,good_to_bad,male,25to44,married,degree,full_time,managerial_professional,no
698,10,10,9,0,9,9,7,10,10,10,10,very_good,female,45to54,married,no_degree,part_time,routine_manual,no
50,8,9,8,0,10,7,8,8,9,8,6,good_to_bad,female,45to54,married,no_degree,full_time,intermediate,no
303,8,9,9,2,10,6,6,7,7,8,10,good_to_bad,male,55to64,married,no_degree,part_time,intermediate,no
507,9,9,10,5,10,9,9,9,10,8,9,good_to_bad,male,25to44,married,degree,full_time,managerial_professional,yes
843,9,8,9,1,9,6,9,7,7,8,9,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,yes
886,7,7,8,2,9,6,10,5,6,10,9,very_good,male,25to44,married,no_degree,full_time,managerial_professional,yes
100,7,7,8,4,8,4,4,4,4,6,8,good_to_bad,male,45to54,married,no_degree,part_time,intermediate,yes
612,9,7,4,4,9,7,9,5,8,5,9,very_good,male,25to44,married,degree,full_time,managerial_professional,yes
498,8,7,7,0,8,9,9,4,5,5,8,very_good,female,25to44,single,degree,part_time,managerial_professional,yes
111,9,9,6,0,9,7,8,8,8,9,8,very_good,female,25to44,married,no_degree,full_time,routine_manual,yes
123,5,7,5,5,7,8,5,5,7,5,8,very_good,male,45to54,married,no_degree,full_time,managerial_professional,yes
935,8,9,9,1,10,4,6,5,8,9,10,good_to_bad,female,16to24,married,no_degree,part_time,routine_manual,no
916,9,10,10,2,10,8,9,5,10,10,4,good_to_bad,female,25to44,widowed_divorced_sep,no_degree,full_time,intermediate,yes
27,9,9,9,1,10,9,7,8,6,7,8,very_good,female,25to44,married,degree,part_time,managerial_professional,yes
670,8,7,9,1,9,7,9,7,8,5,8,good_to_bad,female,55to64,married,degree,full_time,intermediate,no
219,7,7,9,1,6,8,8,7,9,7,7,very_good,male,25to44,widowed_divorced_sep,degree,full_time,managerial_professional,no
854,6,7,8,5,10,8,7,6,7,7,5,very_good,male,45to54,married,no_degree,full_time,managerial_professional,yes
342,8,8,6,6,8,7,7,7,7,8,8,good_to_bad,male,25to44,married,degree,full_time,managerial_professional,yes
894,8,8,8,0,9,8,9,5,5,7,4,good_to_bad,female,45to54,married,no_degree,full_time,routine_manual,no
851,10,8,10,0,10,8,9,9,9,4,10,good_to_bad,male,25to44,married,no_degree,full_time,managerial_professional,no
793,9,9,9,0,10,9,10,9,9,9,8,good_to_bad,female,25to44,married,degree,full_time,managerial_professional,yes
167,9,10,9,9,10,8,10,9,9,3,8,very_good,female,25to44,married,no_degree,full_time,managerial_professional,yes
774,4,4,4,8,4,7,4,4,4,5,6,good_to_bad,female,45to54,single,degree,full_time,managerial_professional,no
553,7,7,8,3,9,6,8,5,8,8,8,very_good,male,25to44,single,degree,full_time,managerial_professional,no
835,9,8,8,1,8,9,9,9,7,9,8,very_good,female,45to54,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
137,8,9,6,6,9,7,9,9,8,8,8,good_to_bad,female,55to64,widowed_divorced_sep,degree,part_time,intermediate,no
46,9,9,9,3,8,7,8,7,6,7,8,good_to_bad,female,25to44,married,degree,part_time,managerial_professional,yes
106,5,9,9,0,10,10,10,7,10,9,10,good_to_bad,male,45to54,widowed_divorced_sep,no_degree,full_time,managerial_professional,no
475,9,8,10,8,10,8,9,9,9,8,10,good_to_bad,male,25to44,married,degree,full_time,managerial_professional,yes
949,8,10,8,2,10,9,10,9,10,10,10,very_good,male,45to54,widowed_divorced_sep,degree,full_time,managerial_professional,no
405,9,9,7,0,9,5,7,6,8,9,5,very_good,female,25to44,single,no_degree,part_time,routine_manual,no
281,0,5,8,9,5,0,1,7,3,5,5,good_to_bad,female,16to24,single,no_degree,part_time,routine_manual,no
688,9,10,9,5,10,10,8,9,8,8,10,good_to_bad,male,25to44,married,degree,full_time,managerial_professional,yes
900,7,9,8,6,9,7,7,6,9,10,8,very_good,female,45to54,married,no_degree,full_time,intermediate,no
